Order,Category,Organization Name,Organization Type,Appointment to Make,Website URL
1,Deputy Mayors (portfolio leadership),First Deputy Mayor,Mayoral Office,First Deputy Mayor,
2,Deputy Mayors (portfolio leadership),Deputy Mayor for Operations,Mayoral Office,Deputy Mayor for Operations,
3,Deputy Mayors (portfolio leadership),Deputy Mayor for Health and Human Services,Mayoral Office,Deputy Mayor for Health and Human Services,
4,Deputy Mayors (portfolio leadership),Deputy Mayor for Public Safety,Mayoral Office,Deputy Mayor for Public Safety,
5,Deputy Mayors (portfolio leadership),Deputy Mayor for Strategic Initiatives,Mayoral Office,Deputy Mayor for Strategic Initiatives,
6,Deputy Mayors (portfolio leadership),Deputy Mayor for Administration and Chief of Staff,Mayoral Office,Chief of Staff,
7,Deputy Mayors (portfolio leadership),Deputy Mayor for Communications,Mayoral Office,Deputy Mayor for Communications,
8,Deputy Mayors (portfolio leadership),Deputy Mayor of Housing Economic and Workforce Development,Mayoral Office,Deputy Mayor for Economic and Workforce Development,
9,Citywide coordination & shared services,Office of Intergovernmental Affairs,Mayoral Office,Deputy Mayor for Intergovernmental Affairs,https://www1.nyc.gov/site/intergovernmental/index.page
10,Citywide coordination & shared services,Mayor's Office of Management and Budget,Mayoral Office,Director,https://www.nyc.gov/site/omb/index.page
11,Citywide coordination & shared services,New York City Law Department,Mayoral Agency,Executive Director,https://www.nyc.gov/site/law/index.page
12,Citywide coordination & shared services,Mayor's Office of Operations,Mayoral Office,Director,https://www.nyc.gov/site/operations/index.page
13,Citywide coordination & shared services,Office of Technology and Innovation,Mayoral Office,Chief Technology Officer (CTO),https://www.nyc.gov/content/oti/pages/
14,Citywide coordination & shared services,Mayor's Office of Contract Services,Mayoral Office,Director,https://www.nyc.gov/site/mocs/index.page
15,Citywide coordination & shared services,Department of Citywide Administrative Services,Mayoral Agency,Commissioner,https://www.nyc.gov/site/dcas/index.page
16,Citywide coordination & shared services,Office of Labor Relations,Mayoral Office,Commissioner,https://www1.nyc.gov/site/olr/index.page
17,Citywide coordination & shared services,Mayor's Office for International Affairs,Mayoral Office,Commissioner,https://www.nyc.gov/site/international/index.page
18,Citywide coordination & shared services,Department of Records and Information Services,Mayoral Agency,Commissioner,https://www.nyc.gov/site/records/index.page
19,Citywide coordination & shared services,Procurement Policy Board,Advisory or Regulatory Organization,Chair,https://www.nyc.gov/site/mocs/regulations/ppb.page
